"Name","SightRange","DeployTime","ChargeRange","Speed","Hitpoints","HitSpeed","LoadTime","Damage","DamageSpecial","CrownTowerDamagePercent","LoadFirstHit","StopTimeAfterAttack","StopTimeAfterSpecialAttack","Projectile","CustomFirstProjectile","MultipleProjectiles","Range","MinimumRange","AttacksGround","AttacksAir","DeathDamageRadius","DeathDamage","DeathPushBack","AttackPushBack","ReloadAfterHits","ReloadTime","LifeTime","ProjectileSpecial","ProjectileEffect","ProjectileEffectSpecial","AreaDamageRadius","TargetOnlyBuildings","DamageTypeVulnerabilities","DamageTypeImmunities","SpecialAttackInterval","OpponentCardHealthReduction","OwnCardHealthReduction","BuffOnDamage","BuffOnDamageTime","IgnoreTargetIfImmuneToBuff","StartingBuff","StartingBuffTime","FileName","BlueExportName","BlueTopExportName","RedExportName","RedTopExportName","UseAnimator","AttachedCharacter","AttachedCharacterHeight","DamageEffect","DamageEffectSpecial","DeathEffect","MoveEffect","SpawnEffect","CrowdEffects","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","Pushback","IgnorePushback","Scale","CollisionRadius","Mass","TileSizeOverride","AreaBuff","AreaBuffTime","AreaBuffRadius","AreaBuffOwnTroops","AreaBuffEnemies","Gold","ManaOnDeath","HealthBar","HealthBarOffsetY","ShowHealthNumber","FlyingHeight","DamageExportName","GrowTime","GrowSize","MorphCharacter","MorphEffect","HealOnMorph","AreaEffectOnMorph","AttackStartEffect","AttackStartEffectSpecial","DashCooldown","JumpHeight","DashPushBack","DashRadius","DashDamage","LandingEffect","DashMinRange","DashMaxRange","JumpSpeed","ContinuousEffect","OpponentCardSpawn","OwnCardSpawn","SpawnStartTime","SpawnInterval","SpawnNumber","SpawnLimit","SpawnPauseTime","SpawnCharacterLevelIndex","SpawnCharacter","SpawnCharacterEffect","SpawnRadius","DeathSpawnCount","DeathSpawnCharacter","DeathSpawnRadius","Kamikaze","SpawnPathfindSpeed","SpawnPathfindEffect","ChargeEffect","TakeDamageEffect","ProjectileStartRadius","ProjectileStartZ","StopMovementAfterMS","WaitMS","DontStopMoveAnim","IsSummonerTower","NoDeploySizeW","NoDeploySizeH","TID","VariableDamage2","VariableDamageTime1","VariableDamage3","VariableDamageTime2","TargettedDamageEffect1","TargettedDamageEffect2","TargettedDamageEffect3","DamageLevelTransitionEffect12","DamageLevelTransitionEffect23","FlameEffect1","FlameEffect2","FlameEffect3","TargetEffectY","SelfAsAoeCenter","HidesWhenNotAttacking","HideTimeMs","TargetedHitEffect","TargetedHitEffectSpecial","UpTimeMs","HideEffect","AppearEffect","ManaCollectAmount","ManaGenerateTimeMs","ManaGenerateLimit","HasRotationOnTimeline","TurretMovement","ProjectileYOffset","ChargeSpeedMultiplier","RandomDeployDelay","DeployBaseAnimExportName","JumpEnabled","SightClip","AreaEffectOnDash","SightClipSide","WalkingSpeedTweakPercentage","ShieldHitpoints","ShieldDiePushback","ShieldLostEffect","BlueShieldExportName","RedShieldExportName","LoadAttackEffect1","LoadAttackEffect2","LoadAttackEffect3","LoadAttackEffectReady","RotateAngleSpeed"
"string","int","int","int","int","int","int","int","int","int","int","boolean","int","int","string","string","int","int","int","boolean","boolean","int","int","int","int","int","int","int","string","string","string","int","boolean","string","string","int","int","int","string","int","boolean","string","int","string","string","string","string","string","boolean","string","int","string","string","string","string","string","boolean","int","int","int","int","int","int","boolean","int","int","int","int","string","int","int","boolean","boolean","int","int","string","int","boolean","int","string","int","int","string","string","boolean","string","string","string","int","int","int","int","int","string","int","int","int","string","int","int","int","int","int","int","int","int","string","string","int","int","string","int","boolean","int","string","string","string","int","int","int","int","boolean","boolean","int","int","string","int","int","int","int","string","string","string","string","string","string","string","string","int","boolean","boolean","int","string","string","int","string","string","int","int","int","boolean","int","int","int","int","string","boolean","int","string","int","int","int","int","string","string","string","string","string","string","string","int"
"Knight",5500,1000,,60,600,1100,700,75,,,,,,,,,1000,,"true",,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_knight.sc","Knight",,"Knight_enemy",,"true",,,"knight_hit",,"knight_die","knight_steps","knight_deploy",,85,85,,-10,35,,,100,500,6,,,,,,,,,"Medium",35,,,"filter_damage",,,,,,,"knight_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,450,,,,,,,"TID_CHARACTER_KNIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,,,,,,,,,,,,,,
"Archer",5500,1000,,60,125,1200,1100,,,,,,,"ArcherArrow",,,5000,,"true","true",,,,,,,,,"ArcherAttack",,,,,,,,,,,,,,"sc/chr_archer.sc","archer1",,"archer1_enemy",,"true",,,,,"ArcherDie","ArcherSteps","ArcherDeploy",,75,75,,-15,25,,,87,500,3,,,,,,,,,"Small",-10,,,"filter_damage",,,,,,,"ArcherAttackStart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,450,,,,,,,"TID_CHARACTER_ARCHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,"filter_deploy_unit_default",,,,,,,,,,,,,,,
"Goblin",5500,1000,,120,80,1100,900,50,,,,,,,,,500,,"true",,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_goblin.sc","goblin1",,"goblin1_enemy",,"true",,,"goblins_hit",,"goblins_die","goblins_steps","goblins_deploy",,50,50,-5,5,35,,,100,500,2,,,,,,,,,"Small",,,,"filter_damage",,,,,,,"goblins_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,350,,,,,,,"TID_CHARACTER_GOBLIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,"filter_deploy_unit_default",,,,,,,,,,,,,,,
"Giant",7500,1000,,45,2000,1500,1000,126,,,,,,,,,1250,,"true",,,,,,,,,,,,,"true",,,,,,,,,,,"sc/chr_giant.sc","giant1",,"giant1_enemy",,"true",,,"giant_hit",,"giant_die","giant_steps","giant_deploy","true",85,80,,,25,,"true",100,750,18,,,,,,,,,"High",,,,"filter_damage_wobble",,,,,,,"giant_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,450,640,100,,,,,"TID_CHARACTER_GIANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,2000,,2000,,,,,,,,,,,
"Pekka",5000,3000,,45,2600,1800,1200,450,,,,,,,,,750,,"true",,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_pekka.sc","pekka",,"pekka_enemy",,"true",,,"pekka_hit",,"pekka_die","pekka_steps","pekka_deploy","true",80,80,,,35,,"true",100,750,18,,,,,,,,,"Medium",,,,"filter_damage_wobble",,,,,,,"pekka_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,450,,,,,,,"TID_CHARACTER_PEKKA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,,,,20,,,,,,,,,,
"Minion",5500,1000,,90,90,1000,500,,,,,,,"MinionSpit",,,2000,,"true","true",,,,,,,,,"minion_attack",,,,,,,,,,,,,,"sc/chr_minion.sc","minion1",,"minion1_enemy",,"true",,,,,"minion_die","minion_steps","minion_deploy",,85,-60,,20,,,,85,500,2,,,,,,,,,"Small",,,1500,"filter_damage_wobble",,,,,,,"minion_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,450,,,,,,,"TID_CHARACTER_MINION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,"filter_deploy_unit_default",,,,,,,,,,,,,,,
"Balloon",7700,1000,,60,1050,3000,2800,600,,,,,,,,,100,,"true",,,,,,,,,,,,,"true",,,,,,,,,,,"sc/chr_balloon.sc","balloon1",,"balloon1_enemy",,"true",,,"balloon_hit",,"balloon_die","balloon_steps","balloon_deploy",,85,50,,-10,15,,"true",100,300,6,,,,,,,,,"Medium",,,3000,"filter_damage_wobble",,,,,,,"balloon_attack_start",,,,,,,,,,,,,,,,,,,,,,,,"BalloonBomb",,,,,,,450,450,,,,,,,"TID_CHARACTER_BALLOON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,,,2000,,,,,,,,,,,
"Witch",5500,1000,,60,500,700,200,,,,,,,"WitchProjectile",,,5000,,"true","true",,,,,,,,,,,,,,,,,,,,,,,"sc/chr_witch.sc","witch1",,"witch1_enemy",,"true",,,"witch_hit",,"witch_die","witch_steps","witch_deploy",,80,80,,,35,,,100,500,4,,,,,,,,,"Medium",,,,"filter_damage",,,,,,,"witch_attack_start",,,,,,,,,,,,,,,300,3,,6900,5,"Skeleton","witch_deploy_skeleton",,,,,,,,,,450,450,,,,,,,"TID_CHARACTER_WITCH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,,,,,,,,,,,,,,
"Skeleton",5500,1000,,90,30,1000,500,30,,,,,,,,,500,,"true",,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_skeleton.sc","skeleton1",,"skeleton1",,"true",,,"skeleton_hit",,"skeleton_die","skeleton_steps","skeleton_deploy",,50,50,-5,5,35,,,130,500,1,,,,,,,,,"Small",,,,"filter_damage",,,,,,,"skeleton_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,350,,,,,,,"TID_CHARACTER_SKELETON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,"filter_deploy_unit_default",,,,,,,,,,,,,,,
